
Data_X,Data_Y,Angle,Label_X,Label_Y
-1.4513200521469116,-0.6450703367590904,-2.7206466839537122,-1.4513200521469116,-0.6450703367590904
-1.4453833103179932,-0.6424051374197006,-2.7206882360925815,-1.4453833103179932,-0.6424051374197006
-1.4394845962524414,-0.6397654116153717,-2.7207511732420278,-1.4394845962524414,-0.6397654116153717
-1.4336341321468353,-0.637124590575695,-2.721374296117033,-1.4336341321468353,-0.637124590575695
-1.4278605580329895,-0.6345069035887718,-2.7214124114468934,-1.4278605580329895,-0.6345069035887718
-1.4220038652420044,-0.6318982690572739,-2.721562682458772,-1.4220038652420044,-0.6318982690572739
-1.4161918759346008,-0.6292997449636459,-2.7216336172536217,-1.4161918759346008,-0.6292997449636459
-1.4103962182998657,-0.6267093867063522,-2.721771869015733,-1.4103962182998657,-0.6267093867063522
-1.4046448469161987,-0.6242367476224899,-2.7218330857437887,-1.4046448469161987,-0.6242367476224899
-1.3988052010536194,-0.6216284930706024,-2.7219192868312927,-1.3988052010536194,-0.6216284930706024
-1.3930809795856476,-0.6190585196018219,-2.7219799544200733,-1.3930809795856476,-0.6190585196018219
-1.387393295764923,-0.6165033802390099,-2.722000028566858,-1.387393295764923,-0.6165033802390099
-1.3817298710346222,-0.6139728799462318,-2.7220742253095693,-1.3817298710346222,-0.6139728799462318
-1.3760657906532288,-0.6115447878837585,-2.7221728380335977,-1.3760657906532288,-0.6115447878837585
-1.3703776001930237,-0.609012745320797,-2.7221732032828214,-1.3703776001930237,-0.609012745320797
-1.3647685050964355,-0.6065041571855545,-2.7222077581065807,-1.3647685050964355,-0.6065041571855545
-1.3591983914375305,-0.6040178090333939,-2.7222048141916915,-1.3591983914375305,-0.6040178090333939
-1.3537268936634064,-0.6015879213809967,-2.722211618932738,-1.3537268936634064,-0.6015879213809967
-1.3480551838874817,-0.5991547852754593,-2.722299285363125,-1.3480551838874817,-0.5991547852754593
-1.3425075709819794,-0.596664309501648,-2.722315072705478,-1.3425075709819794,-0.596664309501648
-1.3370252847671509,-0.5942207649350166,-2.722298332691678,-1.3370252847671509,-0.5942207649350166
-1.3315606117248535,-0.5917845517396927,-2.722271479282611,-1.3315606117248535,-0.5917845517396927
-1.3261430859565735,-0.5893458351492882,-2.722250772610727,-1.3261430859565735,-0.5893458351492882
-1.3207064867019653,-0.5869180560112,-2.722240525969308,-1.3207064867019653,-0.5869180560112
-1.3153123259544373,-0.584503784775734,-2.722223208159044,-1.3153123259544373,-0.584503784775734
-1.309938669204712,-0.5821134597063065,-2.7222416818373008,-1.309938669204712,-0.5821134597063065
-1.3047818839550018,-0.5796884894371033,-2.7221373410417753,-1.3047818839550018,-0.5796884894371033
-1.2994099259376526,-0.5772840827703476,-2.722243941347586,-1.2994099259376526,-0.5772840827703476
-1.2941040992736816,-0.5749201327562332,-2.7222326637569667,-1.2941040992736816,-0.5749201327562332
-1.2888291776180267,-0.5725638419389725,-2.7222295944085246,-1.2888291776180267,-0.5725638419389725
-1.283615380525589,-0.5702441334724426,-2.7222495631294135,-1.283615380525589,-0.5702441334724426
-1.2783390581607819,-0.5678943768143654,-2.72221219697159,-1.2783390581607819,-0.5678943768143654
-1.273117333650589,-0.5655792951583862,-2.722177702853033,-1.273117333650589,-0.5655792951583862
-1.26792111992836,-0.5633348599076271,-2.7223959462663356,-1.26792111992836,-0.5633348599076271
-1.2626241147518158,-0.5609725937247276,-2.7223579036341117,-1.2626241147518158,-0.5609725937247276
-1.2574822902679443,-0.5586958974599838,-2.7223841504440154,-1.2574822902679443,-0.5586958974599838
-1.2523228824138641,-0.5563798099756241,-2.7223643143234457,-1.2523228824138641,-0.5563798099756241
-1.24720498919487,-0.5540909394621849,-2.722344870073738,-1.24720498919487,-0.5540909394621849
-1.2421056032180786,-0.5518085733056068,-2.7223463649699204,-1.2421056032180786,-0.5518085733056068
-1.2370231747627258,-0.5495351329445839,-2.7223731388064913,-1.2370231747627258,-0.5495351329445839
-1.2318679988384247,-0.5473310798406601,-2.7223492566160394,-1.2318679988384247,-0.5473310798406601
-1.2268242239952087,-0.5450852140784264,-2.722331937792226,-1.2268242239952087,-0.5450852140784264
-1.2218107283115387,-0.5428476557135582,-2.722336064669517,-1.2218107283115387,-0.5428476557135582
-1.2168178856372833,-0.5406127721071243,-2.7223456804912667,-1.2168178856372833,-0.5406127721071243
-1.2118485569953918,-0.5384018123149872,-2.7223353267333876,-1.2118485569953918,-0.5384018123149872
-1.2068906128406525,-0.5362373292446136,-2.7223686467005614,-1.2068906128406525,-0.5362373292446136
-1.2019343972206116,-0.5340257287025452,-2.7223788939763875,-1.2019343972206116,-0.5340257287025452
-1.197020262479782,-0.5318433046340942,-2.722356905088467,-1.197020262479782,-0.5318433046340942
-1.1922177076339722,-0.5296711921691895,-2.7222085522810904,-1.1922177076339722,-0.5296711921691895
-1.1874597668647766,-0.5274792611598969,-2.7222032129441947,-1.1874597668647766,-0.5274792611598969
-1.1825501024723053,-0.5252843499183655,-2.722223447816198,-1.1825501024723053,-0.5252843499183655
-1.1777085661888123,-0.5231289565563202,-2.7222273883674295,-1.1777085661888123,-0.5231289565563202
-1.172914981842041,-0.5209660232067108,-2.722220131162889,-1.172914981842041,-0.5209660232067108
-1.1681158542633057,-0.5188181698322296,-2.7222570789515954,-1.1681158542633057,-0.5188181698322296
-1.1633642613887787,-0.5166708081960678,-2.7222675920053034,-1.1633642613887787,-0.5166708081960678
-1.1585902571678162,-0.5145327150821686,-2.722310892217826,-1.1585902571678162,-0.5145327150821686
-1.1538523137569427,-0.5124149322509766,-2.722343188845418,-1.1538523137569427,-0.5124149322509766
-1.1491389870643616,-0.5103122293949127,-2.7223884828045284,-1.1491389870643616,-0.5103122293949127
-1.1444449722766876,-0.5082254111766815,-2.7223590577336356,-1.1444449722766876,-0.5082254111766815
-1.1397782266139984,-0.5061383545398712,-2.7223446571114662,-1.1397782266139984,-0.5061383545398712
-1.135113388299942,-0.5040560662746429,-2.7222896873031797,-1.135113388299942,-0.5040560662746429
-1.1304775178432465,-0.5019947737455368,-2.722220842487697,-1.1304775178432465,-0.5019947737455368
-1.1258605122566223,-0.4999445080757141,-2.722183058245185,-1.1258605122566223,-0.4999445080757141
-1.1212167739868164,-0.49796000123023987,-2.7222723160926834,-1.1212167739868164,-0.49796000123023987
