Delta_X,Delta_Y,U1
3.1090571880340576,1.6750234067440033,"[[3.10905719]
 [1.67502341]]"
3.0997474193573,1.6881426274776459,"[[3.09974742]
 [1.68814263]]"
3.103930354118347,1.6732776165008545,"[[3.10393035]
 [1.67327762]]"
3.09071147441864,1.6820652484893799,"[[3.09071147]
 [1.68206525]]"
3.0900237560272217,1.6665585041046143,"[[3.09002376]
 [1.6665585 ]]"
3.0754932165145874,1.6708452701568604,"[[3.07549322]
 [1.67084527]]"
3.06973135471344,1.6565986275672913,"[[3.06973135]
 [1.65659863]]"
3.0565123558044434,1.6559610962867737,"[[3.05651236]
 [1.6559611 ]]"
3.047455072402954,1.6450347304344177,"[[3.04745507]
 [1.64503473]]"
3.0381574630737305,1.6408433318138123,"[[3.03815746]
 [1.64084333]]"
3.0274558067321777,1.6349927484989166,"[[3.02745581]
 [1.63499275]]"
3.023895025253296,1.629791647195816,"[[3.02389503]
 [1.62979165]]"
3.0145779848098755,1.628571331501007,"[[3.01457798]
 [1.62857133]]"
3.0166765451431274,1.6230115294456482,"[[3.01667655]
 [1.62301153]]"
3.0103169679641724,1.6261587738990784,"[[3.01031697]
 [1.62615877]]"
3.018081784248352,1.6209191679954529,"[[3.01808178]
 [1.62091917]]"
3.0155093669891357,1.627248376607895,"[[3.01550937]
 [1.62724838]]"
3.026625394821167,1.621011108160019,"[[3.02662539]
 [1.62101111]]"
3.0279488563537598,1.6300287246704102,"[[3.02794886]
 [1.63002872]]"
3.0404072999954224,1.6218771934509277,"[[3.0404073 ]
 [1.62187719]]"
3.04404079914093,1.6334931254386902,"[[3.0440408 ]
 [1.63349313]]"
3.055350422859192,1.6231514811515808,"[[3.05535042]
 [1.62315148]]"
3.058813214302063,1.6369532942771912,"[[3.05881321]
 [1.63695329]]"
3.0670669078826904,1.6234704852104187,"[[3.06706691]
 [1.62347049]]"
3.0676770210266113,1.639137327671051,"[[3.06767702]
 [1.63913733]]"
3.0710482597351074,1.6239777207374573,"[[3.07104826]
 [1.62397772]]"
3.0674506425857544,1.639650285243988,"[[3.06745064]
 [1.63965029]]"
3.0652530193328857,1.6246029734611511,"[[3.06525302]
 [1.62460297]]"
3.057057738304138,1.6384814977645874,"[[3.05705774]
 [1.6384815 ]]"
3.0502471923828125,1.6263822317123413,"[[3.05024719]
 [1.62638223]]"
3.0378791093826294,1.6366345286369324,"[[3.03787911]
 [1.63663453]]"
3.029645800590515,1.6289741396903992,"[[3.0296458 ]
 [1.62897414]]"
3.0148003101348877,1.634363055229187,"[[3.01480031]
 [1.63436306]]"
3.0067951679229736,1.6317013502120972,"[[3.00679517]
 [1.63170135]]"
2.9917951822280884,1.6309551000595093,"[[2.99179518]
 [1.6309551 ]]"
2.986016273498535,1.6330480575561523,"[[2.98601627]
 [1.63304806]]"
2.9740118980407715,1.627549409866333,"[[2.9740119 ]
 [1.62754941]]"
2.971372127532959,1.634024739265442,"[[2.97137213]
 [1.63402474]]"
2.9641185998916626,1.6266795992851257,"[[2.9641186]
 [1.6266796]]"
2.964505672454834,1.6367852091789246,"[[2.96450567]
 [1.63678521]]"
2.9629459381103516,1.6301347017288208,"[[2.96294594]
 [1.6301347 ]]"
2.963324546813965,1.643115520477295,"[[2.96332455]
 [1.64311552]]"
2.9674623012542725,1.6383882761001587,"[[2.9674623 ]
 [1.63838828]]"
2.96635103225708,1.652882695198059,"[[2.96635103]
 [1.6528827 ]]"
2.974843740463257,1.6503084897994995,"[[2.97484374]
 [1.65030849]]"
2.9700543880462646,1.6648327112197876,"[[2.97005439]
 [1.66483271]]"
2.9820618629455566,1.6627488136291504,"[[2.98206186]
 [1.66274881]]"
2.9731249809265137,1.675336241722107,"[[2.97312498]
 [1.67533624]]"
2.9872785806655884,1.6717506051063538,"[[2.98727858]
 [1.67175061]]"
2.975082755088806,1.6807182431221008,"[[2.97508276]
 [1.68071824]]"
2.9893369674682617,1.674128770828247,"[[2.98933697]
 [1.67412877]]"
2.9755430221557617,1.6783751249313354,"[[2.97554302]
 [1.67837512]]"
2.988053798675537,1.668625146150589,"[[2.9880538 ]
 [1.66862515]]"
2.975745916366577,1.6682365238666534,"[[2.97574592]
 [1.66823652]]"
2.9852120876312256,1.655279517173767,"[[2.98521209]
 [1.65527952]]"
2.976202130317688,1.651230812072754,"[[2.97620213]
 [1.65123081]]"
2.9806934595108032,1.6357365250587463,"[[2.98069346]
 [1.63573653]]"
2.976963520050049,1.6297875046730042,"[[2.97696352]
 [1.6297875 ]]"
2.9754037857055664,1.6137504577636719,"[[2.97540379]
 [1.61375046]]"
2.9768954515457153,1.6076362133026123,"[[2.97689545]
 [1.60763621]]"
2.970072627067566,1.5938003957271576,"[[2.97007263]
 [1.5938004 ]]"
2.9758191108703613,1.58787402510643,"[[2.97581911]
 [1.58787403]]"
2.965973138809204,1.5783639550209045,"[[2.96597314]
 [1.57836396]]"
2.9751280546188354,1.5716349482536316,"[[2.97512805]
 [1.57163495]]"
2.9643830060958862,1.5681237578392029,"[[2.96438301]
 [1.56812376]]"
2.9750670194625854,1.5592347979545593,"[[2.97506702]
 [1.5592348 ]]"
2.9671154022216797,1.560449331998825,"[[2.9671154 ]
 [1.56044933]]"
2.977378249168396,1.5493697822093964,"[[2.97737825]
 [1.54936978]]"
2.9737446308135986,1.55412957072258,"[[2.97374463]
 [1.55412957]]"
2.980983257293701,1.540793389081955,"[[2.98098326]
 [1.54079339]]"
2.98129403591156,1.5483796000480652,"[[2.98129404]
 [1.5483796 ]]"
2.984238028526306,1.5335021615028381,"[[2.98423803]
 [1.53350216]]"
2.98766553401947,1.5436729490756989,"[[2.98766553]
 [1.54367295]]"
2.9857224225997925,1.529277116060257,"[[2.98572242]
 [1.52927712]]"
2.991208791732788,1.5413180589675903,"[[2.99120879]
 [1.54131806]]"
2.984945297241211,1.5295250415802002,"[[2.9849453 ]
 [1.52952504]]"
2.9891332387924194,1.5439167022705078,"[[2.98913324]
 [1.5439167 ]]"
2.981011390686035,1.5361442565917969,"[[2.98101139]
 [1.53614426]]"
2.9821056127548218,1.5519591867923737,"[[2.98210561]
 [1.55195919]]"
2.9744855165481567,1.5489093363285065,"[[2.97448552]
 [1.54890934]]"
2.970760703086853,1.5642708837985992,"[[2.9707607 ]
 [1.56427088]]"
2.9648916721343994,1.5661174356937408,"[[2.96489167]
 [1.56611744]]"
2.956874132156372,1.5796295404434204,"[[2.95687413]
 [1.57962954]]"
2.9537932872772217,1.5858062505722046,"[[2.95379329]
 [1.58580625]]"
2.9414830207824707,1.5954726338386536,"[[2.94148302]
 [1.59547263]]"
2.940130591392517,1.6051167845726013,"[[2.94013059]
 [1.60511678]]"
2.925374388694763,1.6096166372299194,"[[2.92537439]
 [1.60961664]]"
2.9248228073120117,1.621693730354309,"[[2.92482281]
 [1.62169373]]"
2.910658359527588,1.6205079555511475,"[[2.91065836]
 [1.62050796]]"
2.908907175064087,1.6340359449386597,"[[2.90890718]
 [1.63403594]]"
2.897776961326599,1.6292958855628967,"[[2.89777696]
 [1.62929589]]"
2.8926292657852173,1.6429010033607483,"[[2.89262927]
 [1.642901  ]]"
2.8862003087997437,1.6363230347633362,"[[2.88620031]
 [1.63632303]]"
2.87748122215271,1.648273527622223,"[[2.87748122]
 [1.64827353]]"
2.8767160177230835,1.6421740055084229,"[[2.87671602]
 [1.64217401]]"
2.8649436235427856,1.6507110595703125,"[[2.86494362]
 [1.65071106]]"
2.869470953941345,1.6463019847869873,"[[2.86947095]
 [1.64630198]]"
2.856302857398987,1.6505451202392578,"[[2.85630286]
 [1.65054512]]"
2.8644484281539917,1.647755205631256,"[[2.86444843]
 [1.64775521]]"
2.852542757987976,1.648011028766632,"[[2.85254276]
 [1.64801103]]"
2.8643068075180054,1.6450813710689545,"[[2.86430681]
 [1.64508137]]"
2.8555028438568115,1.6413753926753998,"[[2.85550284]
 [1.64137539]]"
2.868852734565735,1.636762797832489,"[[2.86885273]
 [1.6367628 ]]"
2.8643157482147217,1.630978286266327,"[[2.86431575]
 [1.63097829]]"
2.8776379823684692,1.6235595345497131,"[[2.87763798]
 [1.62355953]]"
2.878344416618347,1.6176744103431702,"[[2.87834442]
 [1.61767441]]"
2.889819383621216,1.6072637140750885,"[[2.88981938]
 [1.60726371]]"
2.8946486711502075,1.6013154089450836,"[[2.89464867]
 [1.60131541]]"
2.9027609825134277,1.5878808498382568,"[[2.90276098]
 [1.58788085]]"
2.910636782646179,1.5808554887771606,"[[2.91063678]
 [1.58085549]]"
2.913545250892639,1.565417468547821,"[[2.91354525]
 [1.56541747]]"
2.9229713678359985,1.5565871596336365,"[[2.92297137]
 [1.55658716]]"
2.920237421989441,1.5413838028907776,"[[2.92023742]
 [1.5413838 ]]"
2.929279327392578,1.5306646227836609,"[[2.92927933]
 [1.53066462]]"
2.92184579372406,1.5180634558200836,"[[2.92184579]
 [1.51806346]]"
2.9287115335464478,1.505472332239151,"[[2.92871153]
 [1.50547233]]"
2.918727397918701,1.4976958334445953,"[[2.9187274 ]
 [1.49769583]]"
2.921584367752075,1.4834822714328766,"[[2.92158437]
 [1.48348227]]"
2.9120525121688843,1.4805578589439392,"[[2.91205251]
 [1.48055786]]"
2.910542845726013,1.4666371941566467,"[[2.91054285]
 [1.46663719]]"
2.9034390449523926,1.4680502116680145,"[[2.90343904]
 [1.46805021]]"
2.897857427597046,1.4562844932079315,"[[2.89785743]
 [1.45628449]]"
2.8946439027786255,1.4613423645496368,"[[2.8946439 ]
 [1.46134236]]"
2.8869229555130005,1.453632265329361,"[[2.88692296]
 [1.45363227]]"
2.887443780899048,1.461273729801178,"[[2.88744378]
 [1.46127373]]"
2.8798487186431885,1.4577141404151917,"[[2.87984872]
 [1.45771414]]"
2.882952094078064,1.4680291712284088,"[[2.88295209]
 [1.46802917]]"
2.8767077922821045,1.4687636196613312,"[[2.87670779]
 [1.46876362]]"
2.8804659843444824,1.4812160730361938,"[[2.88046598]
 [1.48121607]]"
2.8766560554504395,1.4860600233078003,"[[2.87665606]
 [1.48606002]]"
2.879346251487732,1.500480204820633,"[[2.87934625]
 [1.5004802 ]]"
2.8771438598632812,1.5088109076023102,"[[2.87714386]
 [1.50881091]]"
2.8764421939849854,1.5242745280265808,"[[2.87644219]
 [1.52427453]]"
2.8752102851867676,1.5352337956428528,"[[2.87521029]
 [1.5352338 ]]"
2.8701112270355225,1.5497084856033325,"[[2.87011123]
 [1.54970849]]"
2.868052363395691,1.5620325803756714,"[[2.86805236]
 [1.56203258]]"
2.8587805032730103,1.5741333663463593,"[[2.8587805 ]
 [1.57413337]]"
2.8538185358047485,1.5866441428661346,"[[2.85381854]
 [1.58664414]]"
2.841198682785034,1.5946425199508667,"[[2.84119868]
 [1.59464252]]"
2.833325505256653,1.6061564683914185,"[[2.83332551]
 [1.60615647]]"
2.8192877769470215,1.6093361973762512,"[[2.81928778]
 [1.6093362 ]]"
2.808588981628418,1.6178757548332214,"[[2.80858898]
 [1.61787575]]"
2.7955777645111084,1.6161541938781738,"[[2.79557776]
 [1.61615419]]"
2.783590793609619,1.621028184890747,"[[2.78359079]
 [1.62102818]]"
2.7743256092071533,1.6158123016357422,"[[2.77432561]
 [1.6158123 ]]"
2.7628073692321777,1.6169078350067139,"[[2.76280737]
 [1.61690784]]"
2.7580833435058594,1.610412448644638,"[[2.75808334]
 [1.61041245]]"
2.748898983001709,1.6079362332820892,"[[2.74889898]
 [1.60793623]]"
2.749320387840271,1.6020150780677795,"[[2.74932039]
 [1.60201508]]"
2.743766188621521,1.5969470143318176,"[[2.74376619]
 [1.59694701]]"
2.748793840408325,1.592383861541748,"[[2.74879384]
 [1.59238386]]"
2.7478991746902466,1.5863878726959229,"[[2.74789917]
 [1.58638787]]"
2.756194829940796,1.5830062925815582,"[[2.75619483]
 [1.58300629]]"
2.7587491273880005,1.5765166580677032,"[[2.75874913]
 [1.57651666]]"
2.769791841506958,1.5722410380840302,"[[2.76979184]
 [1.57224104]]"
2.7756400108337402,1.5650711953639984,"[[2.77564001]
 [1.5650712 ]]"
2.788081645965576,1.559241235256195,"[[2.78808165]
 [1.55924124]]"
2.7955336570739746,1.550674855709076,"[[2.79553366]
 [1.55067486]]"
2.8075557947158813,1.5421906113624573,"[[2.80755579]
 [1.54219061]]"
2.8151897192001343,1.5322800278663635,"[[2.81518972]
 [1.53228003]]"
2.82503080368042,1.5213004648685455,"[[2.8250308 ]
 [1.52130046]]"
2.8310545682907104,1.509804517030716,"[[2.83105457]
 [1.50980452]]"
2.8372400999069214,1.496165156364441,"[[2.8372401 ]
 [1.49616516]]"
2.8403090238571167,1.4832463264465332,"[[2.84030902]
 [1.48324633]]"
2.8414281606674194,1.4683129787445068,"[[2.84142816]
 [1.46831298]]"
2.840977668762207,1.4553709030151367,"[[2.84097767]
 [1.4553709 ]]"
2.837639093399048,1.441188246011734,"[[2.83763909]
 [1.44118825]]"
2.8334280252456665,1.4298671782016754,"[[2.83342803]
 [1.42986718]]"
2.825813889503479,1.4185706973075867,"[[2.82581389]
 [1.4185707 ]]"
2.819581985473633,1.4103458523750305,"[[2.81958199]
 [1.41034585]]"
2.8100874423980713,1.403813898563385,"[[2.81008744]
 [1.4038139 ]]"
2.8034952878952026,1.3992443680763245,"[[2.80349529]
 [1.39924437]]"
2.7948825359344482,1.3966770470142365,"[[2.79488254]
 [1.39667705]]"
2.7885767221450806,1.396313101053238,"[[2.78857672]
 [1.3963131 ]]"
2.782099485397339,1.398258090019226,"[[2.78209949]
 [1.39825809]]"
2.7769325971603394,1.4016079902648926,"[[2.7769326 ]
 [1.40160799]]"
2.7741565704345703,1.4069327414035797,"[[2.77415657]
 [1.40693274]]"
2.7704594135284424,1.4131328165531158,"[[2.77045941]
 [1.41313282]]"
2.77055823802948,1.420983612537384,"[[2.77055824]
 [1.42098361]]"
2.7669920921325684,1.4300877451896667,"[[2.76699209]
 [1.43008775]]"
