M_x,M_y,Phi_x,Phi_y,U_x,U_y
-1.30330255627632,-1.05002588033676,5.59519448876381,3.71437591314316,-2.22462084889412,-2.58577936887741
-1.29343646764755,-1.03976827859879,5.53641830384731,3.66994839906692,-2.224200502038,-2.56866127252579
-1.2947753071785,-1.03725451231003,5.53011855483055,3.68311184644699,-2.23853328824043,-2.54041522741318
-1.28358367085457,-1.02960050106049,5.47689990699291,3.64708831906319,-2.2246021181345,-2.53051468729973
-1.2739417552948,-1.01938527822495,5.41935251653194,3.60366034507751,-2.22429801523685,-2.51265132427216
-1.27570647001266,-1.01725572347641,5.41334156692028,3.61624291539192,-2.24089725315571,-2.48729142546654
-1.26472875475883,-1.00984436273575,5.36104515194893,3.58155870437622,-2.22732737660408,-2.47750747203827
-1.25593611598015,-1.00001457333565,5.3053306043148,3.53922343254089,-2.23028609156609,-2.46086400747299
-1.25745150446892,-0.997320920228958,5.29897536337376,3.55122530460358,-2.24573366343975,-2.43270021677017
-1.24666550755501,-0.990052402019501,5.24700818955898,3.51637333631515,-2.23298485577106,-2.42394107580185
-1.23750224709511,-0.980326056480408,5.19193671643734,3.47531133890152,-2.23307676613331,-2.40664499998093
-1.2390761077404,-0.97748875617981,5.18568602204323,3.48567821085453,-2.24877062439919,-2.37925432622433
-1.22845053672791,-0.970340818166733,5.1343200802803,3.4507287889719,-2.23638314008713,-2.3713161200285
-1.21964702010155,-0.960581988096237,5.08030503988266,3.4100848287344,-2.23757708072662,-2.35340709984303
-1.22051641345024,-0.960444301366806,5.07380706071854,3.42214058339596,-2.24929141998291,-2.34052522480488
-1.21014541387558,-0.953485131263733,5.02449440956116,3.38949818909168,-2.23637807369232,-2.33141259849071
-1.20067036151886,-0.946624100208282,4.97071370482445,3.35253731906414,-2.23330846428871,-2.32720728218555
-1.20149689912796,-0.946005344390869,4.96523933112621,3.36520883440971,-2.24374206364155,-2.3108232319355
-1.19132858514786,-0.939306378364563,4.91660451889038,3.33335012197494,-2.23136699199677,-2.30248814821243
-1.18198993802071,-0.932509243488312,4.86377570033073,3.29694724082947,-2.2281639277935,-2.2981082201004
-1.18249323964119,-0.932477831840515,4.85801583528519,3.30978710949421,-2.23694360256195,-2.28507988154888
-1.17253237962723,-0.925802856683731,4.81066498160362,3.2781028598547,-2.22452929615974,-2.27671428024769
-1.16319927573204,-0.919258713722229,4.75880980491638,3.24282938241959,-2.22038584947586,-2.27272289991379
-1.16374644637108,-0.918933272361755,4.75292035937309,3.2552370429039,-2.22955831885338,-2.25836259126663
-1.15399107336998,-0.912392139434814,4.7061722278595,3.22403827309608,-2.21777421236038,-2.2503145635128
-1.14452111721039,-0.906339943408966,4.65518926084042,3.18993121385574,-2.21193744242191,-2.24810844659805
-1.14458292722702,-0.906734645366669,4.64867301285267,3.20280283689499,-2.21882455050945,-2.23760503530502
-1.13501232862473,-0.900306105613709,4.60274301469326,3.17244338989258,-2.20733095705509,-2.22939324378967
-1.12563148140907,-0.894188463687897,4.5526010543108,3.13891610503197,-2.20118783414364,-2.22621467709541
-1.12563052773476,-0.894636392593384,4.54617421329021,3.15148395299911,-2.20760895311832,-2.21633440256119
-1.11625418066978,-0.888333946466446,4.50109224021435,3.12175261974335,-2.19643284380436,-2.20825105905533
-1.10657060146332,-0.882879376411438,4.4511783272028,3.08939069509506,-2.18824528157711,-2.20788556337357
-1.10625302791595,-0.883460402488709,4.4444857686758,3.10191629827023,-2.19303239881992,-2.19884611666203
-1.09704819321632,-0.877263039350509,4.40011309087276,3.07262541353703,-2.18217606842518,-2.19095282256603
-1.08764916658402,-0.87166303396225,4.35164125263691,3.04069066047668,-2.17425374686718,-2.18928754329681
-1.08694928884506,-0.87256395816803,4.34432198107243,3.05311246216297,-2.17737375199795,-2.18227128684521
-1.07796029746532,-0.866517543792725,4.30063016712666,3.02479885518551,-2.16713161766529,-2.17430640757084
-1.068483248353,-0.86125659942627,4.25296813249588,2.99396604299545,-2.15793135762215,-2.17357355356216
-1.0677457600832,-0.862039387226105,4.24553176760674,3.00630576908588,-2.16094279289246,-2.16593055427074
-1.05892214179039,-0.856078803539276,4.20210595428944,2.97845409810543,-2.1514268964529,-2.15801872313023
-1.04941153526306,-0.850955069065094,4.15522520244122,2.9480909705162,-2.14124400913715,-2.15763944387436
-1.04850268363953,-0.851643979549408,4.14756767451763,2.96013940870762,-2.14344842731953,-2.14972446858883
-1.03989759087563,-0.845815539360046,4.10555133223534,2.9327793866396,-2.13383421301842,-2.14211384952068
-1.03038088977337,-0.840424239635468,4.05925770103931,2.90281674265862,-2.1230276376009,-2.13972869515419
-1.02948527038097,-0.840874195098877,4.05206663906574,2.91379694640636,-2.1248449832201,-2.1314482241869
-1.02103839814663,-0.835131198167801,4.01099894940853,2.88644163310528,-2.11523143947124,-2.12434555590153
-1.01163414120674,-0.82983073592186,3.96587505936623,2.85702399909496,-2.10392978787422,-2.1219604164362
-1.01056948304176,-0.830229669809341,3.95860496163368,2.86780007183552,-2.1048119366169,-2.11357794702053
-1.00232426822186,-0.824606209993362,3.918540969491,2.84106767177582,-2.09540463984013,-2.10656958818436
