
Data_X,Data_Y,Label_X,Label_Y
-0.5696367919445038,-0.2999410480260849,[-0.56963679],[-0.29994105]
-0.5684934854507446,-0.29935605823993683,[-0.56849349],[-0.29935606]
-0.5673356354236603,-0.29873843491077423,[-0.56733564],[-0.29873843]
-0.5661671459674835,-0.2981216609477997,[-0.56616715],[-0.29812166]
-0.5650103688240051,-0.297508604824543,[-0.56501037],[-0.2975086]
-0.5638576149940491,-0.29689911752939224,[-0.56385761],[-0.29689912]
-0.5627044141292572,-0.29628710076212883,[-0.56270441],[-0.2962871]
-0.5615579783916473,-0.29568513855338097,[-0.56155798],[-0.29568514]
-0.5604124665260315,-0.2950780391693115,[-0.56041247],[-0.29507804]
-0.5592699944972992,-0.29447439312934875,[-0.55926999],[-0.29447439]
-0.5581305623054504,-0.29386992380023,[-0.55813056],[-0.29386992]
-0.5569960176944733,-0.2932707481086254,[-0.55699602],[-0.29327075]
-0.5558605492115021,-0.2926689311861992,[-0.55586055],[-0.29266893]
-0.5547279715538025,-0.2920698747038841,[-0.55472797],[-0.29206987]
-0.5535969138145447,-0.2914653643965721,[-0.55359691],[-0.29146536]
-0.5524968504905701,-0.29090840369462967,[-0.55249685],[-0.2909084]
-0.5513690114021301,-0.2903091087937355,[-0.55136901],[-0.29030911]
-0.5502229332923889,-0.28970130532979965,[-0.55022293],[-0.28970131]
-0.5491029620170593,-0.2891044653952122,[-0.54910296],[-0.28910447]
-0.5479776859283447,-0.28850457444787025,[-0.54797769],[-0.28850457]
-0.5468589961528778,-0.2879127040505409,[-0.546859],[-0.2879127]
-0.5457470417022705,-0.2873269394040108,[-0.54574704],[-0.28732694]
-0.5446358025074005,-0.28673939779400826,[-0.5446358],[-0.2867394]
-0.5435256958007812,-0.2861517407000065,[-0.5435257],[-0.28615174]
-0.5424155294895172,-0.2855617143213749,[-0.54241553],[-0.28556171]
-0.5413115322589874,-0.28497718647122383,[-0.54131153],[-0.28497719]
-0.54020756483078,-0.2843962013721466,[-0.54020756],[-0.2843962]
-0.5391646325588226,-0.28386686742305756,[-0.53916463],[-0.28386687]
-0.5380668044090271,-0.28328605368733406,[-0.5380668],[-0.28328605]
-0.5369225740432739,-0.2826823927462101,[-0.53692257],[-0.28268239]
-0.5358266532421112,-0.28210312873125076,[-0.53582665],[-0.28210313]
-0.5347286611795425,-0.28152110427618027,[-0.53472866],[-0.2815211]
-0.5336403995752335,-0.28094538301229477,[-0.5336404],[-0.28094538]
-0.5325529873371124,-0.28036875277757645,[-0.53255299],[-0.28036875]
-0.5314683020114899,-0.2797917164862156,[-0.5314683],[-0.27979172]
-0.5303859561681747,-0.2792220301926136,[-0.53038596],[-0.27922203]
-0.5293056815862656,-0.27865273505449295,[-0.52930568],[-0.27865274]
-0.5281755775213242,-0.27814025431871414,[-0.52817558],[-0.27814025]
-0.527102455496788,-0.2775662876665592,[-0.52710246],[-0.27756629]
-0.5259718298912048,-0.27696895971894264,[-0.52597183],[-0.27696896]
-0.524899423122406,-0.2764080837368965,[-0.52489942],[-0.27640808]
-0.5238249152898788,-0.2758398875594139,[-0.52382492],[-0.27583989]
-0.5227562636137009,-0.27527204528450966,[-0.52275626],[-0.27527205]
-0.5216924399137497,-0.27470986917614937,[-0.52169244],[-0.27470987]
