
M_x,M_y,Phi_x,Phi_y,U_x,U_y
-0.7773587219417095,-0.586560845375061,2.082602798938751,-0.8450718820095062,-2.581549532711506,-4.364436954259872
-0.7665558569133282,-0.5689182281494141,2.06806630641222,-0.8529836088418961,-2.531268835067749,-4.26649297773838
-0.7612832300364971,-0.5602291822433472,2.0692309141159058,-0.8526578992605209,-2.498468466103077,-4.214032992720604
-0.7561606876552105,-0.551716685295105,2.0419614911079407,-0.8476906716823578,-2.4950026348233223,-4.157990783452988
-0.7444871068000793,-0.5365607142448425,1.9831342846155167,-0.8955325782299042,-2.4837883561849594,-4.114896863698959
-0.7333143353462219,-0.5733635723590851,1.9362539201974869,-0.7364436089992523,-2.4636320918798447,-4.176625043153763
-0.7183154225349426,-0.5484768450260162,1.899672344326973,-0.7474436312913895,-2.410220190882683,-4.038304701447487
-0.713283360004425,-0.5401332080364227,1.8829514533281326,-0.7430681884288788,-2.3967487066984177,-3.983867436647415
-0.7084069848060608,-0.5320657789707184,1.9269543290138245,-0.7584653198719025,-2.3234875798225403,-3.9508599936962128
-0.7036164999008179,-0.5240820944309235,1.9285604432225227,-0.7582913935184479,-2.2931385561823845,-3.9027839601039886
-0.692262589931488,-0.5407557487487793,1.8750695381313562,-0.655805841088295,-2.278506001457572,-3.9003403335809708
-0.6875961422920227,-0.5329976677894592,1.876280365511775,-0.6555968075990677,-2.249296488240361,-3.853582814335823
-0.6829326152801514,-0.5252704620361328,1.8773942645639181,-0.6554950326681137,-2.22020142711699,-3.8071178048849106
-0.6783279776573181,-0.5176345109939575,1.8438603933900595,-0.6478347629308701,-2.226107472553849,-3.753641828894615
-0.6461342796683311,-0.5013325959444046,1.7283337418921292,-0.7082292884588242,-2.1484719361178577,-3.7162248641252518
-0.6371055468916893,-0.4862879663705826,1.699925631750375,-0.7095134556293488,-2.1227076495997608,-3.6272412538528442
-0.6275048553943634,-0.47242873907089233,1.6644325857050717,-0.7309157997369766,-2.1005965466611087,-3.5654882341623306
-0.6231695115566254,-0.4652523398399353,1.6721202097833157,-0.7346834093332291,-2.0668968595564365,-3.526197448372841
-0.6140850484371185,-0.47693395614624023,1.6256545148789883,-0.6760892570018768,-2.058855775743723,-3.5376929938793182
-0.6056201756000519,-0.46278125047683716,1.6297585368156433,-0.6857893466949463,-2.003962516784668,-3.4624768495559692
-0.6014159023761749,-0.45576047897338867,1.6309153102338314,-0.6857599318027496,-1.9775801040232182,-3.4203228056430817
-0.5973071753978729,-0.44888877868652344,1.6320079267024994,-0.685589462518692,-1.9518351256847382,-3.3789221346378326
-0.5932570993900299,-0.44210392236709595,1.6331053860485554,-0.6854464113712311,-1.926437210291624,-3.3380699455738068
-0.5815623551607132,-0.42757511138916016,1.544517446309328,-0.7248461693525314,-1.944856684654951,-3.2902968376874924
-0.5736302882432938,-0.4143638610839844,1.5269761569797993,-0.7267496883869171,-1.9148055724799633,-3.2129328548908234
-0.5623085647821426,-0.438077449798584,1.500050462782383,-0.630435973405838,-1.8738009259104729,-3.258900672197342
-0.5545883327722549,-0.42501163482666016,1.4756502285599709,-0.6305037438869476,-1.8518797680735588,-3.1805735528469086
-0.5483644753694534,-0.42762257158756256,1.462170273065567,-0.6161332428455353,-1.8280165791511536,-3.1818686723709106
-0.5407495051622391,-0.41484422981739044,1.4447036758065224,-0.6187019199132919,-1.799793355166912,-3.1077672988176346
-0.5370012074708939,-0.4085414558649063,1.4457516223192215,-0.6187894344329834,-1.7762556225061417,-3.0700381696224213
-0.5333307534456253,-0.4023639112710953,1.446755088865757,-0.6186898648738861,-1.7532294318079948,-3.0328733325004578
-0.5297141820192337,-0.39626653492450714,1.4477590546011925,-0.618624672293663,-1.7305260375142097,-2.996223881840706
-0.5261349231004715,-0.3902401477098465,1.4203597456216812,-0.6107378751039505,-1.7364497929811478,-2.9521787613630295
-0.5085566639900208,-0.3972676396369934,1.3475225418806076,-0.5747445225715637,-1.703817442059517,-2.958350360393524
-0.501580536365509,-0.3855091333389282,1.3450234830379486,-0.5804357826709747,-1.6644597351551056,-2.893490582704544
-0.49809694290161133,-0.37960928678512573,1.3459925800561905,-0.5805115550756454,-1.6425890773534775,-2.8581672757864
-0.49208347499370575,-0.3723171651363373,1.3007130771875381,-0.5958759784698486,-1.6517877727746964,-2.8297789692878723
-0.48706477880477905,-0.38404038548469543,1.2907169610261917,-0.545608714222908,-1.6316717118024826,-2.8498510271310806
-0.47504304349422455,-0.36471904814243317,1.2586011439561844,-0.5599419325590134,-1.591657117009163,-2.7482562214136124
-0.4716993421316147,-0.3590642362833023,1.2476748377084732,-0.5559560060501099,-1.582521215081215,-2.7103414237499237
-0.46797700226306915,-0.35456685721874237,1.2481077313423157,-0.5729825347661972,-1.5597542822360992,-2.7003836780786514
-0.4615914970636368,-0.3435821384191513,1.2280970811843872,-0.5725747346878052,-1.5414519011974335,-2.634067565202713
-0.45841939747333527,-0.33820466697216034,1.223635733127594,-0.5705559253692627,-1.5268806517124176,-2.5997839272022247
